time_step,bus_voltages,bus_angles,load_p,load_q,gen_p,gen_q
107,"[1.06, 1.045, 1.0099999999999998, 1.039601276155816, 1.0387726717600907, 1.0700000000000005, 1.0855178686312292, 1.09, 1.0945760928050772, 1.090043497887903, 1.0801381533389065, 1.0714374067514894, 1.0730315597843991, 1.0846859081337106]","[0.0, 1.196454792049444, 1.3975513183963155, 0.8099373665768888, 0.8313391031294144, 0.8708346061710314, 0.6168954957736791, 0.6168954957736791, 0.5182744744086619, 0.5583891895698456, 0.6941486085817409, 0.8369531027120444, 0.7860759396954998, 0.602106734449708]","[0.6239165199722724, 2.708430238773639, 1.3743414587407643, 0.218514541557109, 0.32202142966310765, 0.8481814442019362, 0.25876722026499743, 0.10063169676972117, 0.17538667151294268, 0.3881508303974963, 0.4284035091053845]","[0.3651492997072744, 0.5462863538927719, -0.11213246211483216, 0.04600306138044401, 0.2156393502208311, 0.47728176182210647, 0.1667610975041095, 0.05175344405299946, 0.04600306138044401, 0.1667610975041095, 0.14375956681388735]","[40.0, 0.0, 0.0, 0.0]","[-21.982840939698757, -36.926802764253374, -26.93705492890613, 2.7735016701448494]"
108,"[1.06, 1.045, 1.0099999999999998, 1.039412736265342, 1.0386235812263025, 1.0700000000000003, 1.085290170699451, 1.09, 1.0941895196049878, 1.0896451229540005, 1.0798980633296966, 1.071259806602396, 1.0727869180789127, 1.0841713635755594]","[0.0, 1.1290741847844503, 1.2417183025352059, 0.6870486436901108, 0.7251733246898813, 0.7044804208640927, 0.46243356546019637, 0.4624335654601964, 0.3476627921485887, 0.38565015949605275, 0.5232939098573693, 0.6614034422771975, 0.6101735224286947, 0.4189041073987691]","[0.865789662452776, 3.7584048941498325, 1.9071311458637163, 0.30322587256410555, 0.44685918062078667, 1.1769951632422517, 0.3590832701417039, 0.13964349394399586, 0.24337866087382148, 0.538624905212556, 0.594482302790154]","[0.5067063923110713, 0.7580646814102631, -0.15560275039473825, 0.0638370258029696, 0.29923605845141976, 0.6623091427058094, 0.23140921853576477, 0.07181665402834074, 0.0638370258029696, 0.23140921853576477, 0.19949070563427976]","[40.0, 0.0, 0.0, 0.0]","[-21.531455016641413, -36.31849126233689, -26.56481086921186, 2.914399056258059]"
109,"[1.06, 1.0450000000000002, 1.01, 1.0392147469063504, 1.0384665159723552, 1.0699999999999998, 1.0850517165230722, 1.0899999999999999, 1.0937852430304438, 1.0892287058979147, 1.0796471796459701, 1.0710744620592683, 1.0725315418297414, 1.0836338568220385]","[0.0, 1.0587569983971536, 1.0791400970066243, 0.5588479139757566, 0.6144193341449815, 0.5309290131246508, 0.30129767302797467, 0.30129767302797467, 0.1696746500897396, 0.20544110615248598, 0.3450507700897159, 0.4782610124900975, 0.4266636654885721, 0.2277703611980702]","[1.117935478968942, 4.852973369533371, 2.4625491195721367, 0.39153500645916817, 0.5769989568871946, 1.5197740382296658, 0.46365987607006753, 0.18031217402724836, 0.31425836044749017, 0.6954898141051016, 0.7676146837160004]","[0.6542756028988734, 0.9788375161479195, -0.20091927963036246, 0.08242842241245647, 0.3863832300583894, 0.8551948825292357, 0.29880303124515467, 0.09273197521401345, 0.08242842241245647, 0.29880303124515467, 0.2575888200389262]","[40.0, 0.0, 0.0, 0.0]","[-21.054005768795093, -35.68194998804933, -26.174860838734045, 3.0619523076077755]"
110,"[1.06, 1.0449999999999995, 1.0100000000000002, 1.039320726286023, 1.0385506529852147, 1.0699999999999998, 1.0851792730742922, 1.0899999999999999, 1.0940014325336855, 1.0894513620389374, 1.0797813157864675, 1.07117352694564, 1.072668046478061, 1.0839212157716305]","[0.0, 1.0963406692647641, 1.1660302701321281, 0.6273640850556447, 0.6736110739823794, 0.6236834185052176, 0.38741550362503224, 0.3874155036250321, 0.2647996330644964, 0.3017532470621337, 0.4403122228715021, 0.576141038049598, 0.5247399871000892, 0.3299222608657748]","[0.9832008057772417, 4.268088290516867, 2.165760300283507, 0.344346825986499, 0.5074584804011559, 1.3366093903423315, 0.4077791360366435, 0.15858077512536126, 0.27638363664705834, 0.6116687040549655, 0.6751010141051096]","[0.5754216697405973, 0.8608670649662467, -0.17670429228254542, 0.07249406862873664, 0.3398159466972028, 0.7521259620231425, 0.2627909987791703, 0.08155582720732865, 0.07249406862873664, 0.2627909987791703, 0.22654396446480177]","[40.0, 0.0, 0.0, 0.0]","[-21.310008103180827, -36.02239152952086, -26.383472594921844, 2.9830214868131826]"
111,"[1.06, 1.0450000000000002, 1.01, 1.0395088841788505, 1.038699670425329, 1.0700000000000003, 1.085406210778379, 1.0900000000000003, 1.094386460723468, 1.0898480528571597, 1.0800203544437523, 1.0713502400576367, 1.0729114967092055, 1.0844334296153446]","[0.0, 1.1633839862254265, 1.3210621047050801, 0.7496177073528013, 0.7792277561026194, 0.7891807616643328, 0.5410778613019772, 0.5410778613019772, 0.43453028533795685, 0.47360098475133666, 0.6102853084333794, 0.7507854544591739, 0.6997350736914771, 0.5121835274458978]","[0.7426607576173386, 3.223900616016276, 1.6359071066409563, 0.2601023851563027, 0.38330877812507724, 1.0096079423830167, 0.30801598242193734, 0.11978399316408665, 0.20876638808597972, 0.4620239736329062, 0.5099375708985405]","[0.4346447751954007, 0.6502559628907559, -0.13347359238283943, 0.05475839687501109, 0.2566799853516143, 0.56811836757824, 0.19849918867191518, 0.061603196484387425, 0.05475839687501109, 0.19849918867191518, 0.1711199902344095]","[40.0, 0.0, 0.0, 0.0]","[-21.76204739510388, -36.62844146113548, -26.754529221226736, 2.8425945226040596]"
112,"[1.06, 1.045, 1.0099999999999998, 1.0393302356484075, 1.0385581953444514, 1.07, 1.085190727817068, 1.09, 1.094020854564064, 1.0894713678928245, 1.0797933691773924, 1.0711824322789638, 1.0726803164646708, 1.0839470400939666]","[0.0, 1.0997192350112115, 1.1738418807078477, 0.6335239357130132, 0.6789326379533639, 0.6320222818690235, 0.39515784682222654, 0.39515784682222654, 0.2733516886048611, 0.3104120094077145, 0.44887652642302817, 0.5849407411668546, 0.5335573461891353, 0.3391059129183007]","[0.9710850539806949, 4.215493644469185, 2.1390721465565514, 0.3401035212098283, 0.5012051891513254, 1.3201386678539384, 0.40275416985374396, 0.1566266216097892, 0.2729778262342042, 0.6041312547806162, 0.6667819034245315]","[0.5683308841269501, 0.8502588030245697, -0.1745268069366223, 0.07160074130733228, 0.33562847487811975, 0.7428576910635722, 0.2595526872390795, 0.08055083397074873, 0.07160074130733228, 0.2595526872390795, 0.22375231658541314]","[40.0, 0.0, 0.0, 0.0]","[-21.332930025334097, -36.0529708340988, -26.402204473439767, 2.975933397329449]"
113,"[1.06, 1.0450000000000002, 1.0100000000000005, 1.0391022454545293, 1.0383770428966903, 1.0699999999999998, 1.0849165164531964, 1.09, 1.0935562750878915, 1.0889929529159048, 1.0795051787835614, 1.070969664830045, 1.0723871171876485, 1.0833297031574782]","[0.0, 1.0189990185139324, 0.9872377786900076, 0.48638172338434843, 0.5518154323049396, 0.43282517926432645, 0.21021595033077486, 0.2102159503307749, 0.06906510077121203, 0.1035754477754852, 0.24429641413851286, 0.3747366889973301, 0.3229319123778365, 0.11972548646809182]","[1.2603794141874132, 5.471324461587748, 2.7763196312515337, 0.44142320496886317, 0.6505184073225345, 1.7134190192870342, 0.52273800588418, 0.20328700228829208, 0.35430020398816636, 0.7841070088262704, 0.8654218097415866]","[0.7376414083032321, 1.1035580124221565, -0.2265198025498112, 0.09293120104607647, 0.43561500490348304, 0.9641612108530431, 0.33687560379202713, 0.10454760117683591, 0.09293120104607647, 0.33687560379202713, 0.29041000326898864]","[40.0, 0.0, 0.0, 0.0]","[-20.7811657659982, -35.32126875523605, -25.953710212855185, 3.145612867451627]"
114,"[1.06, 1.0449999999999995, 1.01, 1.0395613075430152, 1.0387411054700122, 1.0700000000000003, 1.0854695474036289, 1.0900000000000005, 1.0944940118243887, 1.0899588952096044, 1.0800871592818346, 1.0713996664359515, 1.0729795782659912, 1.0845766077835617]","[0.0, 1.182136171031109, 1.3644326021897586, 0.7838196298043755, 0.808775447999189, 0.8354795809220258, 0.5840672293845593, 0.5840672293845593, 0.4820142205854227, 0.5216769331649741, 0.6578368219345029, 0.7996435980121691, 0.7486914175857338, 0.563171323750155]","[0.675336486908626, 2.9316450261194684, 1.4876075610245294, 0.2365233779034817, 0.3485607674367095, 0.9180841642306196, 0.28009347383307037, 0.10892523982397175, 0.18984113226463656, 0.4201402107496058, 0.46371030667919416]","[0.3952430130755551, 0.5913084447587035, -0.12137383866099709, 0.049794395348101414, 0.23341122819422516, 0.516616851736552, 0.1805046831368676, 0.05601869476661403, 0.049794395348101414, 0.1805046831368676, 0.15560748546281675]","[40.0, 0.0, 0.0, 0.0]","[-21.88742164841125, -36.797669428362674, -26.858068196325878, 2.8034024013880305]"
115,"[1.06, 1.045, 1.0099999999999998, 1.0394447856309679, 1.0386489578902371, 1.0699999999999998, 1.0853288331132689, 1.09, 1.0942551216932457, 1.0897127144912857, 1.0799387936849802, 1.0712899199487285, 1.0728284031951856, 1.0842586428625]","[0.0, 1.1404989269732795, 1.2681375618920714, 0.7078821907096021, 0.7431717397093197, 0.7326831645000327, 0.4886195865783248, 0.4886195865783248, 0.37658700045617877, 0.4149351269793706, 0.5522594146681757, 0.6911649843749611, 0.6399948298216026, 0.4499635683628194]","[0.8247965011133437, 3.580453014049624, 1.8168328457704046, 0.2888688206664242, 0.4257014199294668, 1.121267132849936, 0.3420814981576076, 0.13303169372795842, 0.2318552376401562, 0.5131222472364116, 0.5663349247275946]","[0.4827150029557354, 0.7221720516660596, -0.14823531586829652, 0.06081448856135247, 0.28506791513133944, 0.6309503188240317, 0.22045252103490268, 0.06841629963152146, 0.06081448856135247, 0.22045252103490268, 0.19004527675422628]","[40.0, 0.0, 0.0, 0.0]","[-21.608412067348578, -36.42174729761022, -26.62802480464249, 2.8904751101544015]"
116,"[1.06, 1.0450000000000002, 1.0099999999999998, 1.039471709606018, 1.0386702658146427, 1.0699999999999998, 1.08536132621867, 1.0900000000000003, 1.094310267376086, 1.0897695367286637, 1.0799730361736883, 1.0713152415973715, 1.072863285721654, 1.0843320231336342]","[0.0, 1.1501057747858106, 1.290353980228621, 0.7254016362984476, 0.7583070719073405, 0.7563994173636684, 0.5106401195379321, 0.5106401195379321, 0.4009100509179081, 0.43956151523971904, 0.5766171615667655, 0.7161921097872668, 0.6650722254196527, 0.47608198853934364]","[0.7903205297657782, 3.4307923458035106, 1.7408903835393617, 0.2767942869225764, 0.4079073702016911, 1.0743988768705266, 0.3277827081977878, 0.1274710531880285, 0.22216383555627833, 0.491674062296682, 0.542662483571893]","[0.46253782156798967, 0.6919857173064401, -0.1420391735523746, 0.058272481457384506, 0.27315225683148964, 0.6045769951203641, 0.2112377452830188, 0.0655565416395575, 0.058272481457384506, 0.2112377452830188, 0.18210150455432642]","[40.0, 0.0, 0.0, 0.0]","[-21.67299039428308, -36.50853745526691, -26.68114924610783, 2.8703686753618616]"
117,"[1.06, 1.045, 1.0100000000000002, 1.039722649918324, 1.0388683984964624, 1.0699999999999998, 1.0856647786464868, 1.0899999999999999, 1.0948257878251382, 1.0903009167656714, 1.080293332779691, 1.0715523164889034, 1.0731898130015047, 1.085018563261525]","[0.0, 1.240051851017944, 1.4984026593258382, 0.8894716145276721, 0.900050631718685, 0.9784967925949288, 0.7168655390482827, 0.7168655390482827, 0.6286945283502814, 0.6701852718566472, 0.8047252063590676, 0.9505676034168977, 0.8999190361228669, 0.7206705132593588]","[0.46728410104874263, 2.028486742801451, 1.0293170520797175, 0.16365710451476684, 0.24117889086386665, 0.6352479714717922, 0.1938044658727502, 0.07536840339495836, 0.13135636020264174, 0.2907066988091254, 0.3208540601671085]","[0.27347963517599205, 0.40914276128691657, -0.08398193521152501, 0.034454127266266704, 0.16150372156062504, 0.35746157038751697, 0.12489621134021678, 0.03876089317455, 0.034454127266266704, 0.12489621134021678, 0.10766914770708334]","[40.0, 0.0, 0.0, 0.0]","[-22.27170296266055, -37.31953603464706, -27.17716481354211, 2.6825951037917477]"
118,"[1.06, 1.045, 1.01, 1.0396788254917204, 1.0388338573501883, 1.07, 1.0856117039344295, 1.09, 1.0947355542007842, 1.090207882760575, 1.0802372456037264, 1.0715107732808773, 1.0731326028875614, 1.0848983225479658]","[0.0, 1.224290164268427, 1.4619396700907028, 0.860715525937416, 0.8752075210960204, 0.939571160863897, 0.680720632716292, 0.680720632716292, 0.5887715562901352, 0.6297648611895933, 0.7647457018029516, 0.9094897907978977, 0.8587585470482552, 0.6778036001204237]","[0.5239237120163743, 2.2743600770480366, 1.1540808034277725, 0.1834940189550434, 0.2704122384600636, 0.7122465209439183, 0.21729554876255136, 0.08450382451876992, 0.14727809416128473, 0.3259433231438272, 0.35974485295133485]","[0.3066281632538226, 0.45873504738760784, -0.09416140446377218, 0.03863031978000913, 0.18107962396879265, 0.40078956771759466, 0.1400349092025331, 0.043459109752510224, 0.03863031978000913, 0.1400349092025331, 0.12071974931252842]","[40.0, 0.0, 0.0, 0.0]","[-22.16756042978501, -37.17762892467522, -27.09042498853503, 2.7154372475004074]"
119,"[1.06, 1.0450000000000004, 1.01, 1.0395307331431887, 1.038716944128576, 1.0700000000000003, 1.0854326023644574, 1.09, 1.0944312710010642, 1.089894232625253, 1.0800481863483788, 1.0713708297150633, 1.07293985818507, 1.084493078299752]","[0.0, 1.1711956107940487, 1.3391286055814446, 0.7638648640849035, 0.7915361378708433, 0.8084670588427472, 0.5589854920188642, 0.5589854920188642, 0.45431021228766505, 0.49362753495148093, 0.6300933988192797, 0.7711378471537166, 0.7201283676200775, 0.5334231150315861]","[0.7146177576807549, 3.1021655656003233, 1.5741349685317991, 0.2502808736577757, 0.3688349717061953, 0.9714849701189975, 0.29638524512105013, 0.11526092865818609, 0.2008833328042672, 0.44457786768157537, 0.4906822391448494]","[0.41823251255970423, 0.6257021841444383, -0.12843360621912162, 0.05269071024374224, 0.24698770426754157, 0.5466661187788256, 0.1910038246335656, 0.05927704902420996, 0.05269071024374224, 0.1910038246335656, 0.16465846951169436]","[40.0, 0.0, 0.0, 0.0]","[-21.814331180266443, -36.69895219063885, -26.79767370258953, 2.826263651854415]"
120,"[1.06, 1.0450000000000002, 1.0099999999999998, 1.0396745151523261, 1.0388304586632304, 1.07, 1.0856064856163994, 1.0900000000000003, 1.0947266839637642, 1.0901987377984008, 1.0802317326250563, 1.0715066905383903, 1.073126980263702, 1.0848865041963285]","[0.0, 1.2227411579060987, 1.4583563371002832, 0.8578895948351112, 0.8727661304486295, 0.9357458266273245, 0.6771685925448614, 0.6771685925448615, 0.584848224217701, 0.6257926401625055, 0.7608168100570611, 0.905452961707259, 0.8547135947475116, 0.6735909309182225]","[0.529489323471194, 2.298520473317346, 1.1663405374158085, 0.185443265363183, 0.27328481211416406, 0.7198126747649864, 0.21960386687745354, 0.08540150378567632, 0.1488426208836073, 0.32940580031618044, 0.36356640183045064]","[0.3098854565937401, 0.46360816340795685, -0.09516167564689645, 0.03904068744488063, 0.1830032223978778, 0.40504713224063643, 0.14152249198769226, 0.043920773375490656, 0.03904068744488063, 0.14152249198769226, 0.12200214826525184]","[40.0, 0.0, 0.0, 0.0]","[-22.1573079178803, -37.163677987434525, -27.081896369785287, 2.7186662947062317]"
121,"[1.06, 1.0450000000000002, 1.01, 1.039611369685159, 1.0387806400178101, 1.07, 1.0855300759116648, 1.0899999999999996, 1.0945968324850766, 1.0900648760886558, 1.0801510395328418, 1.0714469453356383, 1.0730446972795415, 1.0847135294657297]","[0.0, 1.2000737289335912, 1.40592216652334, 0.8165387466345936, 0.8370421786207188, 0.8797707119245463, 0.6251930129628973, 0.6251930129628973, 0.5274394130052252, 0.5676683631635576, 0.7033265624437253, 0.846383225051325, 0.7955250269213998, 0.6119477616493034]","[0.6109186651550458, 2.6520063713182136, 1.3457102393737859, 0.21396229747365642, 0.31531285943486165, 0.830511549404324, 0.25337640490301416, 0.09853526857339433, 0.17173289665648728, 0.3800646073545214, 0.4194787147838787]","[0.35754226025203123, 0.5349057436841402, -0.10979644212463938, 0.04504469420498029, 0.21114700408584497, 0.46733870237667047, 0.16328701649305355, 0.05067528098060277, 0.04504469420498029, 0.16328701649305355, 0.14076466939056329]","[40.0, 0.0, 0.0, 0.0]","[-22.00691464154892, -36.95942881383001, -26.95700834752021, 2.7659479172778383]"
122,"[1.06, 1.0450000000000004, 1.01, 1.039633405208336, 1.0387980310425622, 1.07, 1.0855567322328443, 1.0900000000000003, 1.0946421257727634, 1.0901115657407516, 1.080179183528534, 1.071467780268246, 1.0730733926118028, 1.0847738572339565]","[0.0, 1.2079785150058266, 1.42420691355461, 0.8309584494037853, 0.8494996814415738, 0.8992902060359053, 0.6433176945865131, 0.6433176945865132, 0.5474588023972424, 0.5879372662850715, 0.7233743678010205, 0.8669818405380737, 0.8161650737500168, 0.6334438649912039]","[0.5825251361316013, 2.528749669290174, 1.283165968068687, 0.20401802002765745, 0.3006581347776, 0.7919120514231438, 0.2416002868748575, 0.09395566711800007, 0.16375130554851441, 0.3624004303122864, 0.39998269715948603]","[0.3409248492567435, 0.5100450500691428, -0.1046934576457715, 0.042951162111085774, 0.20133357239571442, 0.44561830690251486, 0.15569796265268593, 0.048320057374971435, 0.042951162111085774, 0.15569796265268593, 0.13422238159714292]","[40.0, 0.0, 0.0, 0.0]","[-22.05943824448429, -37.030677162980076, -27.000578307223723, 2.7494532308828177]"
123,"[1.06, 1.045, 1.0100000000000002, 1.0395354344779208, 1.0387206601557684, 1.0700000000000003, 1.0854382822368283, 1.0899999999999999, 1.094440915778074, 1.0899041724985117, 1.0800541771035657, 1.0713752619883912, 1.0729459633642708, 1.084505917826308]","[0.0, 1.17287719842754, 1.3430178096436356, 0.7669318839181414, 0.7941857944587952, 0.8126188561919879, 0.5628405156607463, 0.5628405156607461, 0.4585682824084821, 0.49793869360656384, 0.6343575293168728, 0.775519148619529, 0.7245184749479442, 0.5379953926618103]","[0.7085805733088547, 3.075958064778527, 1.5608364702379363, 0.2481664680713038, 0.3657190055787629, 0.9632777379083499, 0.2938813437686492, 0.11428718924336351, 0.1991862441098621, 0.440822015652974, 0.4865368913503189]","[0.41469922954020516, 0.6204161701782585, -0.12734858229974788, 0.052245572225537634, 0.2449011198072075, 0.5420478118399529, 0.18939019931757392, 0.058776268753729766, 0.052245572225537634, 0.18939019931757392, 0.16326741320480495]","[40.0, 0.0, 0.0, 0.0]","[-21.825575627424204, -36.714128010358316, -26.80695885319257, 2.822748999067306]"
124,"[1.06, 1.0450000000000002, 1.01, 1.0394741179424214, 1.0386721713317617, 1.0700000000000003, 1.0853642333197429, 1.09, 1.0943152016817888, 1.0897746212359387, 1.0799761002979762, 1.0713175076800894, 1.0728664073635779, 1.0843385895863848]","[0.0, 1.150965511489546, 1.2923422165897391, 0.726969528457219, 0.7596616001437243, 0.7585218831331657, 0.5126108364312765, 0.5126108364312766, 0.40308682612679175, 0.4417654359878957, 0.578797040539895, 0.7184318930927664, 0.6673165081626051, 0.4784194296016209]","[0.7872349541753164, 3.417397819507591, 1.7340935856949347, 0.27571362450379727, 0.4063148150582269, 1.0702042003765813, 0.3265029763860757, 0.12697337970569603, 0.2212964617727845, 0.48975446457911376, 0.5405438164613916]","[0.46073197778924035, 0.689284061259492, -0.14148462310063267, 0.058044973579746785, 0.2720858136550629, 0.6022166008898728, 0.21041302922658212, 0.06530059527721506, 0.058044973579746785, 0.21041302922658212, 0.18139054243670855]","[40.0, 0.0, 0.0, 0.0]","[-21.67876370105595, -36.51630288809438, -26.68590208368528, 2.8685697879537777]"
125,"[1.06, 1.0450000000000004, 1.0100000000000002, 1.039360386407944, 1.038582101653491, 1.07, 1.085227056847109, 1.0900000000000003, 1.0940824607400679, 1.0895348290825235, 1.0798316053564665, 1.0712106858218997, 1.0727192438468216, 1.0840289635420346]","[0.0, 1.110438279734503, 1.1986261972342713, 0.6530677364303882, 0.6958167607596663, 0.6584794927634399, 0.4197225791562493, 0.4197225791562493, 0.30048538460503266, 0.33788423667574075, 0.4760490595146712, 0.6128601219203035, 0.5615327543261222, 0.36824335823900317]","[0.9326416819366213, 4.048610434950675, 2.05439043302168, 0.32663948307457685, 0.4813634487414809, 1.2678769408815809, 0.38680991416726207, 0.15042607773171293, 0.26217116404669966, 0.5802148712508933, 0.6403853023435778]","[0.5458317677693589, 0.8165987076864408, -0.16761762947248007, 0.0687662069630688, 0.3223415951393848, 0.7134493972418388, 0.24927750024112444, 0.07736198283345232, 0.0687662069630688, 0.24927750024112444, 0.21489439675958982]","[40.0, 0.0, 0.0, 0.0]","[-21.40555381954654, -36.14996181729511, -26.461611250492986, 2.953453327647855]"
126,"[1.06, 1.0450000000000002, 1.01, 1.0394759577721218, 1.0386736269849681, 1.0700000000000005, 1.085366454244217, 1.09, 1.0943189713777457, 1.0897785057031906, 1.0799784412391067, 1.0713192389551174, 1.0728687922743791, 1.084343606267013]","[0.0, 1.1516223458855233, 1.2938612236582736, 0.7281673944652775, 0.7606964567002938, 0.7601434414536075, 0.5141164599050128, 0.5141164599050128, 0.4047498772274047, 0.4434492260529071, 0.5804624627573688, 0.7201430819394425, 0.6690311346286876, 0.4802052279746311]","[0.7848775627599804, 3.4071643507829528, 1.72890080644825, 0.2748879943306842, 0.40509809690837606, 1.0669994516783134, 0.3255252564442313, 0.12659315528386764, 0.22063378492331218, 0.48828788466634715, 0.5389251467798937]","[0.4593523063157488, 0.6872199858267094, -0.14106094445916675, 0.05787115670119667, 0.2712710470368592, 0.6004132507749154, 0.20978294304183795, 0.06510505128884618, 0.05787115670119667, 0.20978294304183795, 0.18084736469123944]","[40.0, 0.0, 0.0, 0.0]","[-21.68317381981848, -36.52223546168632, -26.689533074382744, 2.8671955003141996]"
127,"[1.06, 1.0449999999999997, 1.01, 1.0394866132493774, 1.0386820566021981, 1.0699999999999998, 1.0853793180023428, 1.09, 1.0943408067125873, 1.0898010061852899, 1.0799920011031063, 1.0713292677585837, 1.0728826072943944, 1.084372665607507]","[0.0, 1.1554272111017727, 1.3026605048605373, 0.7351063872838537, 0.7666911707234989, 0.7695367860767962, 0.5228382337932951, 0.5228382337932952, 0.4143835894459966, 0.4532030720344655, 0.5901099077821624, 0.7300556412475557, 0.6789636083775373, 0.49054997179509047]","[0.7712213568646974, 3.3478825721960557, 1.698819394383986, 0.27010517567611503, 0.3980497325753267, 1.0484345634796568, 0.31986139224803095, 0.12439054142978972, 0.2167949436347764, 0.4797920883720466, 0.529548304943962]","[0.45135996461666605, 0.6752629391902865, -0.13860660330747993, 0.05686424751076105, 0.2665511602066923, 0.5899665679241458, 0.20613289722650882, 0.06397227844960611, 0.05686424751076105, 0.20613289722650882, 0.17770077347112814]","[40.0, 0.0, 0.0, 0.0]","[-21.708709243318545, -36.55659825137786, -26.710563826825776, 2.8592355250902415]"
128,"[1.06, 1.0450000000000002, 1.0100000000000002, 1.039673024409447, 1.0388292831595454, 1.0700000000000003, 1.0856046809227522, 1.0899999999999999, 1.0947236163617524, 1.0901955752112853, 1.080229826090005, 1.0715052786448636, 1.0731250358408906, 1.0848824171148321]","[0.0, 1.2222054809213028, 1.4571171551632445, 0.8569123371424058, 0.8719218538527849, 0.9344229566738946, 0.6759402336414563, 0.6759402336414562, 0.5834914654051916, 0.6244189744868514, 0.759458128439491, 0.9040569532553888, 0.853314777210703, 0.6721341129322229]","[0.5314139909018223, 2.306875481242009, 1.1705801274242893, 0.18611734243566114, 0.2742781888525528, 0.7224291581384213, 0.22040211604223028, 0.08571193401642282, 0.14938365642862267, 0.33060317406334555, 0.36488794766991434]","[0.31101187485959175, 0.46529335608915207, -0.09550758361829968, 0.0391825984075076, 0.1836684300351918, 0.40651945847789134, 0.14203691922721506, 0.044080423208446004, 0.0391825984075076, 0.14203691922721506, 0.12244562002346117]","[40.0, 0.0, 0.0, 0.0]","[-22.15376165856891, -37.158853278997405, -27.0789468336302, 2.7197830225376034]"
129,"[1.06, 1.0449999999999997, 1.01, 1.0396405105047994, 1.0388036373427068, 1.07, 1.0855653293082765, 1.0899999999999999, 1.0946567350999328, 1.0901266260213747, 1.0801882619159924, 1.0714745016380063, 1.0730826495706096, 1.0847933175862619]","[0.0, 1.2105286117455094, 1.4301057303945712, 0.8356103898988966, 0.8535185991229625, 0.905587373019858, 0.6491649063601249, 0.6491649063601249, 0.5539172537763467, 0.5944762088693926, 0.7298419823907956, 0.8736271481075059, 0.8228237490818403, 0.6403786904036833]","[0.5733645997553751, 2.4889836542376162, 1.2629874593689816, 0.20080972157331095, 0.2959301160027735, 0.7794587876858778, 0.2378009860736577, 0.09247816125086682, 0.16117622389436792, 0.3567014791104867, 0.39369274361083306]","[0.3355636136817171, 0.5020243039332766, -0.10304709396525155, 0.04227573085753914, 0.19816748839471462, 0.4386107076469686, 0.15324952435857941, 0.04756019721473148, 0.04227573085753914, 0.15324952435857941, 0.13211165892980972]","[40.0, 0.0, 0.0, 0.0]","[-22.076364822896117, -37.05365725014432, -27.014629956137604, 2.7441334396697883]"
130,"[1.06, 1.0450000000000004, 1.0100000000000002, 1.0395161771676622, 1.0387054369375988, 1.0700000000000003, 1.0854150191337801, 1.0900000000000003, 1.0944014156486055, 1.08986346455144, 1.080029642745859, 1.0713571110785747, 1.0729209613746633, 1.084453335847717]","[0.0, 1.1659908186590577, 1.3270910468545671, 0.7543720922929357, 0.7833351557454579, 0.7956167550888685, 0.5470537703275087, 0.5470537703275088, 0.44113100007079675, 0.4802840017961122, 0.6168954235887069, 0.7575772094063926, 0.7065404768813737, 0.5192713566581489]","[0.7333028495796141, 3.1832778078525146, 1.6152938345578578, 0.25682496114309045, 0.3784788901056063, 0.9968863623317324, 0.3041348224062913, 0.11827465315800209, 0.20613582407537512, 0.4562022336094372, 0.5035120948726375]","[0.42916802717332236, 0.6420624028577251, -0.13179175637605942, 0.05406841287222956, 0.2534456853385759, 0.5609597835493817, 0.19599799666183218, 0.06082696448125818, 0.05406841287222956, 0.19599799666183218, 0.16896379022571725]","[40.0, 0.0, 0.0, 0.0]","[-21.779504080232723, -36.65197414524657, -26.76892912979551, 2.8371439932898177]"
131,"[1.06, 1.0450000000000002, 1.0100000000000002, 1.0394859222567367, 1.0386815099989735, 1.0700000000000003, 1.0853784837463634, 1.09, 1.0943393905704744, 1.0897995468864072, 1.0799911216527376, 1.0713286173000014, 1.0728817112714863, 1.0843707808941385]","[0.0, 1.1551804310384115, 1.302089787358512, 0.7346563266096489, 0.7663023555615103, 0.7689275375681726, 0.5222725422963727, 0.5222725422963727, 0.4137587503435551, 0.45257044124339557, 0.5894841781085635, 0.7294127164794965, 0.6783193919132671, 0.4898790163725908]","[0.7721071101803337, 3.3517276395846705, 1.7007705007658944, 0.27041539342721344, 0.3985068955769454, 1.0496386981714203, 0.32022875537433165, 0.12453340486779557, 0.21704393419815804, 0.48034313306149773, 0.5301564950086154]","[0.4518783548060016, 0.6760384835680325, -0.13876579399554356, 0.056929556510992296, 0.2668572961452762, 0.590644148801545, 0.2063696423523471, 0.06404575107486625, 0.056929556510992296, 0.2063696423523471, 0.17790486409685077]","[40.0, 0.0, 0.0, 0.0]","[-21.7070536190254, -36.55436966837926, -26.709199926090264, 2.859751755017882]"
